Override Genre
Travel & Architecture ▾
Portfolio Category
auto ▾
If you choose a different genre than the model assigned, PhotoCat automatically marks the original decision as wrong and keeps your override active.

This item still needs a portfolio mapping decision. Without an override it will stay excluded from the portfolio export.

[Device] Windows AMD64 | PyTorch 2.5.1+cu124
[Device] GPU: NVIDIA GeForce RTX 3060 Ti | VRAM: 8191 MB total, ~8191 MB free
[Device] Compute: CUDA
Input: F:\Disco2 PORTFOLIO\WebSIte\lr
Cache: F:\Disco2 PORTFOLIO\WebSIte\lr\.photocat_cache
Found 274 image(s). write-xmp=False, workers=1
[1/274] [cache] test2024-001.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 4ms)
[2/274] [cache] test2024-002.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 5ms)
[3/274] [cache] test2024-003.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[4/274] [cache] test2024-004.jpg: Genre=Street Documentary (conf=0.95, status=auto, 3ms)
[5/274] [cache] test2024-005.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[6/274] [cache] test2024-006.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 4ms)
[7/274] [cache] test2024-007.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[8/274] [cache] test2024-008.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[9/274] [cache] test2024-009.jpg: Genre=Street Documentary (conf=0.63, status=review, 3ms)
[10/274] [cache] test2024-010.jpg: Genre=Street Documentary (conf=0.63, status=review, 3ms)
[11/274] [cache] test2024-011.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[12/274] [cache] test2024-012.jpg: Genre=Street Documentary (conf=0.95, status=auto, 3ms)
[13/274] [cache] test2024-013.jpg: Genre=Street Documentary (conf=0.95, status=auto, 3ms)
[14/274] [cache] test2024-014.jpg: Genre=Street Documentary (conf=0.95, status=auto, 3ms)
[15/274] [cache] test2024-015.jpg: Genre=Travel & Architecture (conf=0.79, status=review, 3ms)
[16/274] [cache] test2024-016.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[17/274] [cache] test2024-017.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[18/274] [cache] test2024-018.jpg: Genre=Street Documentary (conf=0.76, status=review, 4ms)
[19/274] [cache] test2024-019.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 4ms)
[20/274] [cache] test2024-020.jpg: Genre=Food & Product (conf=0.95, status=auto, 4ms)
[21/274] [cache] test2024-021.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[22/274] [cache] test2024-022.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 4ms)
[23/274] [cache] test2024-023.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[24/274] [cache] test2024-024.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[25/274] [cache] test2024-025.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[26/274] [cache] test2024-026.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[27/274] [cache] test2024-027.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[28/274] [cache] test2024-028.jpg: Genre=Travel & Architecture (conf=0.74, status=review, 3ms)
[29/274] [cache] test2024-029.jpg: Genre=Food & Product (conf=0.94, status=auto, 3ms)
[30/274] [cache] test2024-030.jpg: Genre=Nature & Landscape (conf=0.92, status=auto, 3ms)
[31/274] [cache] test2024-031.jpg: Genre=Street Documentary (conf=0.58, status=review, 3ms)
[32/274] [cache] test2024-032.jpg: Genre=Street Documentary (conf=0.77, status=review, 3ms)
[33/274] [cache] test2024-033.jpg: Genre=Street Documentary (conf=0.84, status=auto, 3ms)
[34/274] [cache] test2024-034.jpg: Genre=Street Documentary (conf=0.70, status=review, 3ms)
[35/274] [cache] test2024-035.jpg: Genre=Street Documentary (conf=0.73, status=review, 3ms)
[36/274] [cache] test2024-036.jpg: Genre=Street Documentary (conf=0.95, status=auto, 3ms)
[37/274] [cache] test2024-037.jpg: Genre=Travel & Architecture (conf=0.78, status=review, 3ms)
[38/274] [cache] test2024-038.jpg: Genre=Travel & Architecture (conf=0.82, status=auto, 3ms)
[39/274] [cache] test2024-039.jpg: Genre=Travel & Architecture (conf=0.67, status=review, 4ms)
[40/274] [cache] test2024-040.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 5ms)
[41/274] [cache] test2024-041.jpg: Genre=Food & Product (conf=0.95, status=auto, 5ms)
[42/274] [cache] test2024-042.jpg: Genre=Street Documentary (conf=0.95, status=auto, 4ms)
[43/274] [cache] test2024-043.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 4ms)
[44/274] [cache] test2024-044.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[45/274] [cache] test2024-045.jpg: Genre=Food & Product (conf=0.93, status=auto, 4ms)
[46/274] [cache] test2024-046.jpg: Genre=Street Documentary (conf=0.70, status=review, 3ms)
[47/274] [cache] test2024-047.jpg: Genre=Street Documentary (conf=0.95, status=auto, 3ms)
[48/274] [cache] test2024-048.jpg: Genre=Street Documentary (conf=0.77, status=review, 3ms)
[49/274] [cache] test2024-049.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[50/274] [cache] test2024-050.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[51/274] [cache] test2024-051.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[52/274] [cache] test2024-052.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[53/274] [cache] test2024-053.jpg: Genre=Nature & Landscape (conf=0.95, status=auto, 3ms)
[54/274] [cache] test2024-054.jpg: Genre=Other Photography (conf=0.27, status=review, 3ms)
[55/274] [cache] test2024-055.jpg: Genre=Other Photography (conf=0.95, status=review, 3ms)
[56/274] [cache] test2024-056.jpg: Genre=Street Documentary (conf=0.95, status=auto, 3ms)
[57/274] [cache] test2024-057.jpg: Genre=Food & Product (conf=0.95, status=auto, 4ms)
[58/274] [cache] test2024-058.jpg: Genre=Nature & Landscape (conf=0.94, status=auto, 3ms)
[59/274] [cache] test2024-059.jpg: Genre=Food & Product (conf=0.95, status=auto, 4ms)
[60/274] [cache] test2024-060.jpg: Genre=Nature & Landscape (conf=0.95, status=auto, 3ms)
[61/274] [cache] test2024-061.jpg: Genre=Nature & Landscape (conf=0.60, status=review, 3ms)
[62/274] [cache] test2024-062.jpg: Genre=Nature & Landscape (conf=0.92, status=auto, 3ms)
[63/274] [cache] test2024-063.jpg: Genre=Nature & Landscape (conf=0.95, status=auto, 3ms)
[64/274] [cache] test2024-064.jpg: Genre=Nature & Landscape (conf=0.95, status=auto, 3ms)
[65/274] [cache] test2024-065.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[66/274] [cache] test2024-066.jpg: Genre=Street Documentary (conf=0.95, status=auto, 3ms)
[67/274] [cache] test2024-067.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 4ms)
[68/274] [cache] test2024-068.jpg: Genre=Travel & Architecture (conf=0.78, status=review, 3ms)
[69/274] [cache] test2024-069.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[70/274] [cache] test2024-070.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 4ms)
[71/274] [cache] test2024-071.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[72/274] [cache] test2024-072.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 4ms)
[73/274] [cache] test2024-073.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 4ms)
[74/274] [cache] test2024-074.jpg: Genre=Street Documentary (conf=0.95, status=auto, 4ms)
[75/274] [cache] test2024-075.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 5ms)
[76/274] [cache] test2024-076.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 5ms)
[77/274] [cache] test2024-077.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[78/274] [cache] test2024-078.jpg: Genre=Street Documentary (conf=0.83, status=review, 4ms)
[79/274] [cache] test2024-079.jpg: Genre=Street Documentary (conf=0.94, status=review, 3ms)
[80/274] [cache] test2024-080.jpg: Genre=Street Documentary (conf=0.89, status=auto, 3ms)
[81/274] [cache] test2024-081.jpg: Genre=Travel & Architecture (conf=0.62, status=review, 3ms)
[82/274] [cache] test2024-082.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[83/274] [cache] test2024-083.jpg: Genre=Street Documentary (conf=0.95, status=review, 3ms)
[84/274] [cache] test2024-084.jpg: Genre=Wedding Photography (conf=0.95, status=auto, 3ms)
[85/274] [cache] test2024-085.jpg: Genre=Travel & Architecture (conf=0.53, status=review, 3ms)
[86/274] [cache] test2024-086.jpg: Genre=Street Documentary (conf=0.94, status=auto, 3ms)
[87/274] [cache] test2024-087.jpg: Genre=Street Documentary (conf=0.95, status=auto, 4ms)
[88/274] [cache] test2024-088.jpg: Genre=Street Documentary (conf=0.57, status=review, 4ms)
[89/274] [cache] test2024-089.jpg: Genre=Nature & Landscape (conf=0.95, status=auto, 3ms)
[90/274] [cache] test2024-090.jpg: Genre=Nature & Landscape (conf=0.95, status=auto, 3ms)
[91/274] [cache] test2024-091.jpg: Genre=Nature & Landscape (conf=0.95, status=auto, 3ms)
[92/274] [cache] test2024-092.jpg: Genre=Nature & Landscape (conf=0.95, status=auto, 3ms)
[93/274] [cache] test2024-093.jpg: Genre=Street Documentary (conf=0.57, status=review, 3ms)
[94/274] [cache] test2024-094.jpg: Genre=Street Documentary (conf=0.95, status=review, 3ms)
[95/274] [cache] test2024-095.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[96/274] [cache] test2024-096.jpg: Genre=Nature & Landscape (conf=0.95, status=auto, 3ms)
[97/274] [cache] test2024-097.jpg: Genre=Street Documentary (conf=0.95, status=review, 3ms)
[98/274] [cache] test2024-098.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[99/274] [cache] test2024-099.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[100/274] [cache] test2024-100.jpg: Genre=Street Documentary (conf=0.95, status=auto, 3ms)
[101/274] [cache] test2024-101.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 4ms)
[102/274] [cache] test2024-102.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[103/274] [cache] test2024-103.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[104/274] [cache] test2024-104.jpg: Genre=Street Documentary (conf=0.89, status=review, 4ms)
[105/274] [cache] test2024-105.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 4ms)
[106/274] [cache] test2024-106.jpg: Genre=Nature & Landscape (conf=0.95, status=auto, 4ms)
[107/274] [cache] test2024-107.jpg: Genre=Nature & Landscape (conf=0.95, status=auto, 3ms)
[108/274] [cache] test2024-108.jpg: Genre=Nature & Landscape (conf=0.95, status=auto, 4ms)
